Date,Open,High,Low,Close,Adj Close,Volume
1981-12-28 00:00:00-05:00,8.140625,8.25,8.03125,8.1875,0.7726160883903503,109600
1982-01-04 00:00:00-05:00,8.15625,8.15625,7.625,7.6875,0.7254329919815063,726400
1982-01-11 00:00:00-05:00,7.59375,7.6875,7.125,7.25,0.6841484904289246,764400
1982-01-18 00:00:00-05:00,7.1875,7.8125,7.09375,7.71875,0.7283823490142822,1924000
1982-01-25 00:00:00-05:00,7.6875,7.84375,7.46875,7.8125,0.7372289896011353,1329600
1982-02-01 00:00:00-05:00,7.71875,7.90625,7.53125,7.875,0.7431265711784363,797600
1982-02-08 00:00:00-05:00,8.0,8.15625,7.90625,7.9375,0.7490243911743164,766000
1982-02-15 00:00:00-05:00,7.71875,7.78125,7.40625,7.40625,0.6988928318023682,835200
1982-02-22 00:00:00-05:00,7.5,7.5625,7.15625,7.15625,0.6836995482444763,1141200
1982-03-01 00:00:00-05:00,7.21875,7.28125,6.875,6.90625,0.6598153114318848,1011200
1982-03-08 00:00:00-05:00,6.53125,6.9375,6.28125,6.5625,0.6269730925559998,2325200
1982-03-15 00:00:00-05:00,6.59375,6.84375,6.5625,6.78125,0.6478727459907532,958000
1982-03-22 00:00:00-05:00,6.96875,7.125,6.8125,6.90625,0.6598153114318848,907600
1982-03-29 00:00:00-05:00,6.9375,6.96875,6.46875,6.96875,0.6657866835594177,1157600
1982-04-05 00:00:00-05:00,6.96875,7.0,6.71875,6.75,0.6448876261711121,836400
1982-04-12 00:00:00-05:00,6.65625,6.875,6.5625,6.8125,0.6508584022521973,1476400
1982-04-19 00:00:00-05:00,6.875,7.59375,6.8125,7.5625,0.7225126028060913,2848000
1982-04-26 00:00:00-04:00,7.6875,8.0625,7.59375,7.75,0.7404255867004395,1921200
1982-05-03 00:00:00-04:00,7.71875,8.5,7.65625,8.5,0.8120802640914917,2106800
1982-05-10 00:00:00-04:00,8.4375,8.5,8.15625,8.15625,0.7792388796806335,2281200
1982-05-17 00:00:00-04:00,8.03125,8.125,7.6875,7.78125,0.7521355152130127,711200
1982-05-24 00:00:00-04:00,7.75,7.8125,7.125,7.125,0.6887022852897644,1584400
1982-05-31 00:00:00-04:00,7.15625,7.34375,7.09375,7.1875,0.6947433948516846,1488800
1982-06-07 00:00:00-04:00,7.1875,7.5625,7.125,7.5,0.7249494194984436,1358400
1982-06-14 00:00:00-04:00,7.40625,7.46875,7.25,7.4375,0.7189087867736816,936400
1982-06-21 00:00:00-04:00,7.40625,7.59375,7.375,7.5625,0.7309908270835876,996400
1982-06-28 00:00:00-04:00,7.75,8.03125,7.5625,7.65625,0.7400527000427246,1612400
1982-07-05 00:00:00-04:00,7.6875,8.125,7.625,8.09375,0.782341718673706,1504400
1982-07-12 00:00:00-04:00,8.34375,8.6875,8.25,8.5,0.8216094970703125,2296400
1982-07-19 00:00:00-04:00,8.4375,8.5625,8.3125,8.40625,0.8125475645065308,892800
1982-07-26 00:00:00-04:00,8.40625,8.5625,8.1875,8.34375,0.8065068125724792,958000
1982-08-02 00:00:00-04:00,8.4375,8.65625,8.0625,8.0625,0.7793210744857788,1313600
1982-08-09 00:00:00-04:00,7.84375,7.9375,7.75,7.78125,0.7521355152130127,1081200
1982-08-16 00:00:00-04:00,7.875,8.71875,7.78125,8.65625,0.8472018837928772,1432000
1982-08-23 00:00:00-04:00,8.9375,9.5,8.59375,9.0625,0.8869625926017761,5276800
1982-08-30 00:00:00-04:00,9.125,10.1875,9.03125,10.0,0.9787169098854065,4072000
1982-09-06 00:00:00-04:00,9.9375,10.03125,9.5625,9.65625,0.9450738430023193,1768800
1982-09-13 00:00:00-04:00,9.6875,10.0625,9.59375,9.71875,0.9511904120445251,2625200
1982-09-20 00:00:00-04:00,9.875,10.25,9.6875,9.84375,0.9634246230125427,2302800
1982-09-27 00:00:00-04:00,9.9375,10.25,9.75,9.78125,0.9573073983192444,1846800
1982-10-04 00:00:00-04:00,9.78125,10.75,9.71875,10.5625,1.0337703227996826,3036400
1982-10-11 00:00:00-04:00,10.71875,10.84375,9.71875,9.84375,0.9634246230125427,3095600
1982-10-18 00:00:00-04:00,9.65625,11.03125,9.3125,10.75,1.0521200895309448,2728400
1982-10-25 00:00:00-04:00,10.25,10.53125,9.71875,10.0625,0.9848340153694153,2607600
1982-11-01 00:00:00-05:00,10.15625,11.75,10.03125,11.0,1.07658851146698,6910800
