Date,Open,High,Low,Close,Adj Close,Volume
1992-02-10 00:00:00-05:00,2.0,2.28125,2.0,2.25,1.8220969438552856,21634400
1992-02-17 00:00:00-05:00,2.21875,2.28125,2.03125,2.28125,1.8474053144454956,6960000
1992-02-24 00:00:00-05:00,2.21875,2.59375,2.21875,2.53125,2.0498597621917725,3805600
1992-03-02 00:00:00-05:00,2.59375,2.609375,2.34375,2.34375,1.8980178833007812,3021600
1992-03-09 00:00:00-05:00,2.34375,2.5625,2.34375,2.53125,2.0498597621917725,1383200
1992-03-16 00:00:00-05:00,2.5,2.5625,2.4375,2.53125,2.0498597621917725,490400
1992-03-23 00:00:00-05:00,2.4375,2.53125,2.40625,2.5,2.0245521068573,957600
1992-03-30 00:00:00-05:00,2.4375,2.5,2.40625,2.46875,1.9992457628250122,677600
1992-04-06 00:00:00-04:00,2.4375,2.5625,2.4375,2.46875,1.9992457628250122,557600
1992-04-13 00:00:00-04:00,2.46875,2.53125,2.4375,2.4375,1.9739383459091187,188800
1992-04-20 00:00:00-04:00,2.40625,2.46875,2.34375,2.40625,1.9486325979232788,505600
1992-04-27 00:00:00-04:00,2.34375,2.4375,2.25,2.3125,1.8765604496002197,848000
1992-05-04 00:00:00-04:00,2.25,2.3125,2.125,2.15625,1.7497661113739014,1135200
1992-05-11 00:00:00-04:00,2.15625,2.34375,2.15625,2.21875,1.800484299659729,806400
1992-05-18 00:00:00-04:00,2.21875,2.25,2.03125,2.0625,1.6736887693405151,320800
1992-05-25 00:00:00-04:00,1.9375,2.0,1.75,1.875,1.5215353965759277,3886400
1992-06-01 00:00:00-04:00,1.84375,1.90625,1.8125,1.875,1.5215353965759277,1308800
1992-06-08 00:00:00-04:00,1.90625,1.90625,1.8125,1.8125,1.4708181619644165,1316000
1992-06-15 00:00:00-04:00,1.8125,1.8125,1.65625,1.75,1.420100212097168,3473600
1992-06-22 00:00:00-04:00,1.75,1.75,1.46875,1.5625,1.267946481704712,1561600
1992-06-29 00:00:00-04:00,1.5625,1.6875,1.46875,1.625,1.322582483291626,1882400
1992-07-06 00:00:00-04:00,1.609375,1.6875,1.46875,1.640625,1.3353002071380615,3875200
1992-07-13 00:00:00-04:00,1.65625,1.65625,1.4375,1.484375,1.2081283330917358,2021600
1992-07-20 00:00:00-04:00,1.5,1.5625,1.4375,1.484375,1.2081283330917358,921600
1992-07-27 00:00:00-04:00,1.4375,1.625,1.4375,1.5625,1.2717143297195435,1972000
1992-08-03 00:00:00-04:00,1.5625,1.71875,1.5625,1.65625,1.3480170965194702,916800
1992-08-10 00:00:00-04:00,1.71875,1.75,1.53125,1.59375,1.2971484661102295,1097600
1992-08-17 00:00:00-04:00,1.59375,1.59375,1.53125,1.5625,1.2717143297195435,924000
1992-08-24 00:00:00-04:00,1.46875,1.59375,1.46875,1.53125,1.2462804317474365,3101600
1992-08-31 00:00:00-04:00,1.5625,1.59375,1.46875,1.578125,1.2844316959381104,730400
1992-09-07 00:00:00-04:00,1.546875,1.75,1.5,1.6875,1.3734512329101562,1264000
1992-09-14 00:00:00-04:00,1.8125,2.25,1.8125,2.0,1.627794623374939,3177600
1992-09-21 00:00:00-04:00,2.03125,2.0625,1.921875,2.0,1.627794623374939,2199200
1992-09-28 00:00:00-04:00,1.9375,2.078125,1.9375,2.0625,1.6786633729934692,310400
1992-10-05 00:00:00-04:00,1.953125,2.03125,1.9375,1.96875,1.6023603677749634,756800
1992-10-12 00:00:00-04:00,2.03125,2.15625,1.9375,2.125,1.733734369277954,501600
1992-10-19 00:00:00-04:00,2.125,2.15625,2.0625,2.125,1.733734369277954,1217600
1992-10-26 00:00:00-05:00,2.09375,2.40625,2.09375,2.25,1.835719108581543,1040800
1992-11-02 00:00:00-05:00,2.25,2.40625,2.25,2.375,1.9377038478851318,268000
1992-11-09 00:00:00-05:00,2.375,2.53125,2.28125,2.28125,1.8612143993377686,730400
1992-11-16 00:00:00-05:00,2.40625,2.40625,2.03125,2.25,1.835719108581543,1308000
1992-11-23 00:00:00-05:00,2.25,2.34375,2.15625,2.328125,1.899459719657898,452000
1992-11-30 00:00:00-05:00,2.25,2.34375,2.25,2.34375,1.9122066497802734,702400
1992-12-07 00:00:00-05:00,2.28125,2.46875,2.28125,2.34375,1.9122066497802734,215200
1992-12-14 00:00:00-05:00,2.34375,2.46875,2.21875,2.28125,1.8612143993377686,145600
1992-12-21 00:00:00-05:00,2.28125,2.28125,2.21875,2.28125,1.8612143993377686,213600
1992-12-28 00:00:00-05:00,2.21875,2.3125,2.1875,2.25,1.835719108581543,272000
1993-01-04 00:00:00-05:00,2.21875,2.5,2.21875,2.40625,1.9632000923156738,3763200
1993-01-11 00:00:00-05:00,2.4375,2.78125,2.40625,2.78125,2.2691519260406494,4180800
1993-01-18 00:00:00-05:00,2.75,2.84375,2.59375,2.703125,2.2054128646850586,3696800
1993-01-25 00:00:00-05:00,2.75,3.15625,2.71875,3.125,2.554533004760742,3204800
1993-02-01 00:00:00-05:00,3.15625,3.3125,3.0,3.09375,2.528989791870117,2848000
1993-02-08 00:00:00-05:00,3.15625,3.59375,3.125,3.46875,2.8355331420898438,2380800
1993-02-15 00:00:00-05:00,3.4375,3.53125,3.21875,3.3125,2.707805633544922,1704000
1993-02-22 00:00:00-05:00,3.3125,3.96875,3.09375,3.96875,3.24426007270813,7889600
1993-03-01 00:00:00-05:00,3.96875,4.5,3.84375,4.5,3.6785295009613037,5154400
1993-03-08 00:00:00-05:00,4.5,4.875,3.875,4.3125,3.5252585411071777,3948800
1993-03-15 00:00:00-05:00,4.3125,4.3125,4.125,4.28125,3.499713182449341,3368800
1993-03-22 00:00:00-05:00,4.21875,4.21875,3.5,4.0625,3.3208956718444824,3148000
1993-03-29 00:00:00-05:00,4.03125,4.125,3.875,4.0,3.269803285598755,991200
1993-04-05 00:00:00-04:00,4.375,4.53125,4.1875,4.5,3.6785295009613037,1171200
1993-04-12 00:00:00-04:00,4.53125,4.8125,4.28125,4.625,3.7807087898254395,1196800
1993-04-19 00:00:00-04:00,4.5,4.75,4.3125,4.5,3.6785295009613037,1600000
1993-04-26 00:00:00-04:00,4.5,4.78125,4.5,4.78125,3.908435583114624,1651200
1993-05-03 00:00:00-04:00,4.78125,5.21875,4.6875,5.125,4.189436435699463,1831200
1993-05-10 00:00:00-04:00,5.1875,5.34375,4.9375,5.125,4.193767070770264,1987200
1993-05-17 00:00:00-04:00,5.125,5.65625,5.125,5.59375,4.577341556549072,2429600
1993-05-24 00:00:00-04:00,5.59375,6.984375,5.5,6.625,5.421209335327148,2698400
1993-05-31 00:00:00-04:00,6.5625,6.5625,6.15625,6.375,5.216633319854736,2104000
1993-06-07 00:00:00-04:00,6.375,6.375,5.625,5.875,4.8074870109558105,1389600
1993-06-14 00:00:00-04:00,5.875,6.125,5.6875,5.953125,4.871414661407471,473600
1993-06-21 00:00:00-04:00,6.125,6.5625,5.9375,6.5625,5.3700690269470215,690400
1993-06-28 00:00:00-04:00,6.375,7.125,6.3125,7.125,5.830356121063232,1281600
1993-07-05 00:00:00-04:00,7.125,7.125,6.875,6.96875,5.706723690032959,1129600
1993-07-12 00:00:00-04:00,7.0625,7.75,6.875,7.5,6.141765594482422,1611200
1993-07-19 00:00:00-04:00,7.375,7.75,7.375,7.703125,6.30810546875,1225600
1993-07-26 00:00:00-04:00,7.75,7.75,7.375,7.6875,6.295310974121094,996800
1993-08-02 00:00:00-04:00,7.65625,8.3125,7.59375,8.09375,6.62799072265625,964800
1993-08-09 00:00:00-04:00,8.1875,8.21875,8.0,8.0625,6.602397918701172,448000
1993-08-16 00:00:00-04:00,8.21875,8.375,7.625,7.75,6.346490383148193,1103200
1993-08-23 00:00:00-04:00,7.75,9.0,7.3125,8.703125,7.127008438110352,2996800
1993-08-30 00:00:00-04:00,9.0,9.0,8.375,8.65625,7.088623046875,756800
1993-09-06 00:00:00-04:00,8.5,8.8125,8.34375,8.78125,7.197188377380371,556800
1993-09-13 00:00:00-04:00,8.34375,8.78125,8.34375,8.78125,7.197188377380371,832800
1993-09-20 00:00:00-04:00,8.78125,9.75,8.125,9.375,7.683826446533203,2902000
1993-09-27 00:00:00-04:00,9.5,9.5,8.625,9.0,7.376477241516113,996000
1993-10-04 00:00:00-04:00,8.5625,9.0,8.25,8.78125,7.197188377380371,1238000
1993-10-11 00:00:00-04:00,9.0625,9.5,8.6875,9.4375,7.735054969787598,1719600
1993-10-18 00:00:00-04:00,9.5,9.5,8.125,8.25,6.7617716789245605,1604000
1993-10-25 00:00:00-04:00,8.25,8.8125,7.375,8.75,7.171576023101807,1914800
1993-11-01 00:00:00-05:00,8.75,9.40625,8.5,9.25,7.581377029418945,1479600
1993-11-08 00:00:00-05:00,9.5,9.5,8.6875,9.0,7.376477241516113,1295200
1993-11-15 00:00:00-05:00,8.6875,9.0,8.0,8.6875,7.120348930358887,916800
1993-11-22 00:00:00-05:00,8.5625,8.75,8.1875,8.5,6.966670036315918,491600
1993-11-29 00:00:00-05:00,8.5,8.75,8.25,8.5,6.966670036315918,1388800
1993-12-06 00:00:00-05:00,8.625,9.375,8.375,9.25,7.581377029418945,942800
1993-12-13 00:00:00-05:00,9.25,9.375,7.125,7.84375,6.42880392074585,2955600
1993-12-20 00:00:00-05:00,8.125,8.125,6.875,7.875,6.454418659210205,1003200
1993-12-27 00:00:00-05:00,7.875,8.125,7.5,8.125,6.659319877624512,1929600
1994-01-03 00:00:00-05:00,7.6875,8.125,7.625,8.125,6.659319877624512,1813200
1994-01-10 00:00:00-05:00,8.125,8.25,7.8125,8.0,6.556866645812988,2501200
1994-01-17 00:00:00-05:00,8.5,8.5,7.75,7.75,6.357831954956055,1206800
1994-01-24 00:00:00-05:00,7.875,7.875,5.5,6.625,5.43492317199707,7254800
1994-01-31 00:00:00-05:00,6.625,7.5,6.0,6.375,5.229831218719482,4444800
1994-02-07 00:00:00-05:00,6.125,6.625,5.9375,6.25,5.127285480499268,1946000
1994-02-14 00:00:00-05:00,5.9375,7.5,5.9375,7.28125,5.973287105560303,2208400
1994-02-21 00:00:00-05:00,7.5,7.75,6.375,7.0,5.742560386657715,2044400
1994-02-28 00:00:00-05:00,7.15625,7.875,6.875,7.8125,6.409107685089111,2202800
1994-03-07 00:00:00-05:00,7.5,8.0,7.5,7.875,6.46038293838501,2082800
1994-03-14 00:00:00-05:00,7.8125,8.125,7.375,7.6875,6.3065595626831055,1175600
1994-03-21 00:00:00-05:00,7.375,7.5,6.375,6.8125,5.588740825653076,854000
1994-03-28 00:00:00-05:00,7.0625,7.0625,6.25,6.75,5.537468910217285,475600
1994-04-04 00:00:00-04:00,6.1875,6.5625,5.75,5.75,4.717101573944092,1378000
1994-04-11 00:00:00-04:00,6.125,6.375,5.75,6.1875,5.076015472412109,402400
1994-04-18 00:00:00-04:00,6.0,6.375,6.0,6.1875,5.082644939422607,710800
1994-04-25 00:00:00-04:00,5.875,6.25,5.625,6.0625,4.979963302612305,838400
1994-05-02 00:00:00-04:00,6.0625,6.6875,5.625,6.28125,5.159649848937988,1700000
1994-05-09 00:00:00-04:00,6.5,6.5,5.6875,5.75,4.723263740539551,600400
1994-05-16 00:00:00-04:00,6.0,6.125,5.5,5.625,4.6205854415893555,3898000
1994-05-23 00:00:00-04:00,6.0,6.0,5.5,5.75,4.723263740539551,2790000
1994-05-30 00:00:00-04:00,5.625,5.9375,5.5,5.75,4.723263740539551,331600
